Câmpus;Curso;Cotas;Forma de ingresso;Numero de pessoas;
Boituva;Cursos Anuais - 2022;N;Ampla Concorrência (Geral);127;
Boituva;Cursos Anuais - 2022;N;Ampla Concorrência (Vestibular);2;
Boituva;Cursos Anuais - 2022;S;Escola Pública;33;
Boituva;Cursos Anuais - 2022;S;Escola Pública + PPI;22;
Boituva;Cursos Anuais - 2022;S;Escola Pública + Renda;25;
Boituva;Cursos Anuais - 2022;S;Escola Pública + Renda + PCD;6;
Boituva;Cursos Anuais - 2022;S;Escola Pública + Renda + PPI;20;
Boituva;Cursos Anuais - 2022;N;Processo Seletivo Simplificado - Ampla Concorrência;1;
Boituva;Cursos Anuais - 2022;O;Transferência Facultativa;1;
Boituva;Cursos Anuais - 2022;O;Transferência Intercampi;2;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);254;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);18;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública;24;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + PCD;5;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + PPI;15;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + PPI + PCD;1;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda;31;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PCD;2;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;14;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI + PCD;2;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;65;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência Compulsória;1;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);2;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência Facultativa;1;
Boituva;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência Intercampi;2;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);199;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);0;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública;22;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + PCD;2;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + PPI;11;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + PPI + PCD;0;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda;26;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda + PCD;1;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;12;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI + PCD;0;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;60;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;O;Reingresso;1;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);0;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;O;Transferência Facultativa;0;
Boituva;Cursos Semestrais 2023 - Primeiro Semestre;O;Transferência Intercampi;2;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);322;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);2;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência SISU;79;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Edital de Seleção - Aluno especial / Não regular;1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública;101;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + PPI;67;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + PPI + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda;97;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda + PCD;12;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;65;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;6;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ingresso pós-graduação: ampla concorrência;29;
